,realtime_start,realtime_end,date,value,series_id
0,2024-10-23,2024-10-23,2024-10-21,4.83,DFF
1,2024-10-23,2024-10-23,2024-10-21,0.17,T10Y2Y
2,2024-10-23,2024-10-23,2024-10-22,0.17,T10Y2Y
3,2024-10-23,2024-10-23,2024-10-21,4.24,DGS1
4,2024-10-23,2024-10-23,2024-10-21,4.02,DGS2
5,2024-10-23,2024-10-23,2024-10-21,3.95,DGS3
6,2024-10-23,2024-10-23,2024-10-21,3.98,DGS5
7,2024-10-23,2024-10-23,2024-10-21,4.07,DGS7
8,2024-10-23,2024-10-23,2024-10-21,4.19,DGS10
9,2024-10-23,2024-10-23,2024-10-21,4.54,DGS20
10,2024-10-23,2024-10-23,2024-10-21,4.49,DGS30
11,2024-10-23,2024-10-23,2024-10-21,1.75,DFII5
12,2024-10-23,2024-10-23,2024-10-21,1.88,DFII10
13,2024-10-23,2024-10-23,2024-10-21,2.19,DFII30
14,2024-10-23,2024-10-23,2024-10-21,4.7,DTB4WK
15,2024-10-23,2024-10-23,2024-10-21,4.51,DTB3
16,2024-10-23,2024-10-23,2024-10-21,4.32,DTB6
17,2024-10-23,2024-10-23,2024-10-21,8.0,DPRIME
18,2024-10-23,2024-10-23,2024-10-21,5.0,DPCREDIT
19,2024-10-23,2024-10-23,2024-10-21,4.92,DGS1MO
20,2024-10-23,2024-10-23,2024-10-21,4.73,DGS3MO
21,2024-10-23,2024-10-23,2024-10-21,4.47,DGS6MO
